101 21840
102 20763
103 19740
104 18830
105 18108
106 17386
107 16677
108 15995
109 15396
110 14861
111 14412
112 13963
113 13514
114 13065
115 12618
116 12171
117 11724
118 11277
119 10830
120 10400
121 10039
122 9678
123 9372
124 9108
125 8844
126 8580
127 8316
128 8060
129 7825
130 7590
131 7355
132 7120
133 6885
134 6650
135 6415
136 6180
137 5945
138 5710
139 5475
140 5240
141 5005
142 4770
143 4535
144 4300
145 4065
146 3830
147 3595
148 3360
149 3125
150 2890
151 2655
152 2420
153 2249
154 2078
155 2001
156 1924
157 1847
158 1770
159 1768
101
484
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
140
484
100		129		111		1386		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		103		1316		9		8		0
96		91		91		0		24		12		768
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
141
484
100		129		112		1309		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		104		1222		9		8		0
96		91		91		0		24		13		704
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
142
484
100		129		113		1232		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		105		1128		9		8		0
96		91		91		0		24		14		640
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
143
484
100		129		114		1155		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		106		1034		9		8		0
96		91		91		0		24		15		576
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
144
484
100		129		115		1078		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		107		940		9		8		0
96		91		91		0		24		16		512
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
145
484
100		129		116		1001		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		108		846		9		8		0
96		91		91		0		24		17		448
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
146
484
100		129		117		924		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		109		752		9		8		0
96		91		91		0		24		18		384
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
147
484
100		129		118		847		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		110		658		9		8		0
96		91		91		0		24		19		320
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
53		2		2		0		16		16		0
73		18		18		0		3		1		0
41		3		3		0		0		0		0
60		4		4		0		14		1		0
74		3		3		0		10		2		0
148
484
100		129		119		770		30		29		2
30		2		2		0		4		4		0
67		45		74		0		24		24		0
55		26		60		1768		18		14		0
2		1		0		0		5		5		0
38		40		40		0		20		20		0
17		1		1		0		2		2		0
24		10		10		0		15		15		0
50		2		0		0		0		0		0
58		4		4		0		25		19		0
95		69		69		0		22		22		0
79		59		57		0		10		10		0
46		27		27		0		15		1		0
5		2		2		0		25		25		0
21		3		3		0		16		16		0
29		3		3		0		23		23		0
40		3		3		0		2		2		0
70		26		26		0		13		8		0
9		1		1		0		2		2		0
15		1		1		0		16		16		0
36		4		4		0		21		21		0
63		1		1		0		0		0		0
27		2		2		0		22		22		0
59		57		57		0		0		0		0
56		33		33		0		23		23		0
10		4		0		0		3		3		0
34		1		1		0		29		10		0
87		4		4		0		9		9		0
99		117		111		564		9		8		0
96		91		91		0		24		20		256
35		16		16		0		16		16		0
8		1		1		0		13		12		0
16		2		2		0		13		13		0
81		16		16		0		10		10		0
18		3		3		0		10		10		0
33		1		1		0		28		28		0
42		4		4		0		0		0		0
94		78		77		0		12		9		0
91		57		57		0		20		20		0
12		2		0		0		30		30		0
52		30		30		0		27		27		0
13		4		4		0		26		26		0
62		3		0		0		26		1		0
66		15		15		0		17		17		0
22		2		2		0		13		13		0
23		2		2		0		13		13		0
32		3		3		0		5		5		0
92		62		62		0		14		14		0
26		5		5		0		15		15		0
1		1		0		0		1		1		0
6		1		1		0		0		0		0
49		9		9		0		15		2		0
28		2		2		0		5		5		0
43		4		4		0		1		1		0
82		19		19		0		9		5		0
57		18		18		0		0		0		0
11		1		1		0		15		15		0
45		4		4		0		11		11		0
86		41		41		0		12		12		0
80		22		22		0		19		19		0
51		17		17		0		4		4		0
25		4		4		0		12		12		0
68		3		3		0		3		3		0
85		59		59		0		0		0		0
76		35		35		0		22		22		0
4		4		4		0		28		28		0
78		15		15		0		16		16		0
19		4		4		0		9		9		0
71		1		1		0		6		6		0
98		72		72		0		19		19		0
54		9		9		0		14		14		0
0		4		4		0		2		2		0
97		34		34		0		0		0		0
90		31		31		0		0		0		0
7		1		1		0		0		0		0
77		18		18		0		11		11		0
61		15		15		0		3		3		0
37		2		2		0		13		13		0
64		3		3		0		0		0		0
84		1		1		0		5		5		0
20		2		0		0		16		16		0
39		4		4		0		18		18		0
93		56		56		0		14		14		0
65		34		34		0		22		22		0
44		2		2		0		30		30		0
47		3		3		0		20		20		0
72		4		4		0		0		0		0
83		3		1		0		0		0		0
75		1		1		0		0		0		0
89		36		36		0		0		0		0
88		28		28		0		8		8		0
3		3		3		0		12		6		0
48		6		3		0		19		19		0
31		1		1		0		3		2		0
69		23		23		0		7		7		0
14		1		0		0		22		22		0
